"","V1"
"1",12
"2",30
"3",23
"4",10
"5",10
"6",33
"7",13
"8",18
"9",25
"10",29
"11",16
"12",12
"13",11
"14",27
"15",10
"16",10
"17",24
"18",25
"19",13
"20",10
"21",13
"22",22
"23",27
"24",23
"25",22
"26",17
"27",24
"28",32
"29",30
"30",22
"31",20
"32",31
"33",24
"34",32
"35",26
"36",16
"37",18
"38",29
"39",28
"40",21
"41",24
"42",28
"43",32
"44",28
"45",19
"46",18
"47",22
"48",23
"49",27
"50",37
"51",23
"52",16
"53",20
"54",28
"55",33
"56",25
"57",18
"58",19
"59",19
"60",34
"61",32
"62",24
"63",18
"64",23
"65",35
"66",29
"67",27
"68",22
"69",20
"70",21
"71",25
"72",21
"73",23
